| S.No | Skip List Time | Set Time | Closeness (%) |
| 326  | 0.001961       | 0.002857 | 68.636654     |
| 327  | 0.003067       | 0.001904 | 62.079980     |
| 328  | 0.002128       | 0.001881 | 88.434575     |
| 329  | 0.003122       | 0.001991 | 63.784367     |
| 330  | 0.002075       | 0.001980 | 95.415107     |
| 331  | 0.001955       | 0.001883 | 96.321504     |
| 332  | 0.002015       | 0.002551 | 79.008803     |
| 333  | 0.002805       | 0.001824 | 65.020956     |
| 334  | 0.002220       | 0.001873 | 84.357496     |
| 335  | 0.002622       | 0.002095 | 79.919024     |
| 336  | 0.002014       | 0.001873 | 92.979870     |
| 337  | 0.002231       | 0.002033 | 91.106423     |
| 338  | 0.001975       | 0.002300 | 85.890036     |
| 339  | 0.002255       | 0.002162 | 95.887877     |
| 340  | 0.002096       | 0.002370 | 88.459630     |
| 341  | 0.002070       | 0.002749 | 75.309133     |
| 342  | 0.002280       | 0.001945 | 85.294933     |
| 343  | 0.002700       | 0.001994 | 73.855069     |
| 344  | 0.002065       | 0.002075 | 99.514945     |
| 345  | 0.002296       | 0.002107 | 91.760049     |
| 346  | 0.002494       | 0.001798 | 72.079432     |
| 347  | 0.002676       | 0.002037 | 76.118406     |
| 348  | 0.002400       | 0.001913 | 79.735928     |
| 349  | 0.002036       | 0.001987 | 97.554014     |
| 350  | 0.002151       | 0.001905 | 88.554898     |
| 351  | 0.002288       | 0.002261 | 98.819149     |
| 352  | 0.002697       | 0.002018 | 74.821102     |
| 353  | 0.002385       | 0.002386 | 99.977029     |
| 354  | 0.002579       | 0.002003 | 77.681670     |
| 355  | 0.002485       | 0.001921 | 77.319224     |
| 356  | 0.002509       | 0.002073 | 82.623967     |
| 357  | 0.002087       | 0.001815 | 86.961893     |
| 358  | 0.002361       | 0.002177 | 92.212067     |
| 359  | 0.002965       | 0.002058 | 69.429260     |
| 360  | 0.002137       | 0.001878 | 87.899945     |
| 361  | 0.002078       | 0.001913 | 92.053191     |
| 362  | 0.002061       | 0.002196 | 93.828338     |
| 363  | 0.002263       | 0.002055 | 90.808600     |
| 364  | 0.002069       | 0.001928 | 93.173794     |
| 365  | 0.002299       | 0.002201 | 95.759556     |
| 366  | 0.002098       | 0.001966 | 93.706988     |
| 367  | 0.002190       | 0.002057 | 93.938775     |
| 368  | 0.002293       | 0.002059 | 89.785998     |
| 369  | 0.002915       | 0.002120 | 72.713152     |
| 370  | 0.002172       | 0.001829 | 84.177612     |
| 371  | 0.002031       | 0.001930 | 95.031785     |
| 372  | 0.002294       | 0.001795 | 78.249465     |
| 373  | 0.002101       | 0.002014 | 95.864104     |
| 374  | 0.002071       | 0.001868 | 90.196941     |
| 375  | 0.002051       | 0.001840 | 89.691929     |
| 376  | 0.002100       | 0.001943 | 92.490953     |
| 377  | 0.002186       | 0.002795 | 78.211378     |
| 378  | 0.002235       | 0.002161 | 96.697899     |
| 379  | 0.002068       | 0.001886 | 91.177059     |
| 380  | 0.002239       | 0.002075 | 92.692925     |
| 381  | 0.002213       | 0.001946 | 87.961329     |
| 382  | 0.002210       | 0.002230 | 99.109437     |
| 383  | 0.002274       | 0.002169 | 95.396296     |
